"V1","V2","V3","V4","V5","V6","V7"
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
